,step_name,number_of_created_files,number_of_files_created_never_accessed,number_files_modified_after_accessed,time
0,setup,5,0,5,0
1,uses,261,0,261,1
2,CachelocalMavenrepository,8,0,8,1
3,uses,261,0,261,6
4,testmaven,15,0,15,6
5,grepqThestepIwait1hourand1otherstepsareundefinedmaventargetsurefirereportsiocucumberskeletonRunCucumberTesttxtechomvntestdidntfailasexpectedfalse,10,0,10,0
6,testgradle,24,0,24,43
7,grepqThestepIwait1hourand1otherstepsareundefinedgradlebuildreportsteststestclassesiocucumberskeletonRunCucumberTesthtmlechogradletestdidntfailasexpectedfalse,10,0,10,0
8,comparegradleandmavensources,10,0,10,0
9,finished,5,0,5,0
